article_Id;AMSTAR_quality;article;author_code;Author;Institution;City;Pharma company;Country_institution;Documents;Citations;H-index_author;Co-authors
119;high quality;Oral Chinese herbal medicine combined with pharmacotherapy for psoriasis vulgaris: A systematic review;679;Xue,ﾠCharlie C L;Royal Melbourne Institute of Technology University;Melbourne;;Australia;176;2567;24;150
148;high quality;Plant extracts for the topical management of psoriasis: A systematic review and meta-analysis;679;Xue,ﾠCharlie C L;Royal Melbourne Institute of Technology University;Melbourne;;Australia;176;2567;24;150
155;moderate quality;Add-on effect of chinese herbal medicine bath to phototherapy for psoriasis vulgaris: A systematic review;679;Xue, Charlie C L;Royal Melbourne Institute of Technology University;Melbourne;;Australia;177;2579;24;150
176;moderate quality;Topical herbal medicine combined with pharmacotherapy for psoriasis: A systematic review and meta-analysis;679;Xue, Charlie C L;Royal Melbourne Institute of Technology University;Melbourne;;Australia;177;2579;24;150
17;low quality;Terms referring to psoriasis vulgaris in the classical Chinese medicine literature: a systematic analysis;709;Zhang,ﾠAnthonylin;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;95;947ﾠ;16;150
19;high quality;Is Oral Chinese Herbal Medicine Beneficial for Psoriasis Vulgaris? A Meta-Analysis of Comparisons with Acitretin.;709;Zhang,ﾠAnthonylin;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;95;947;16;150
44;moderate quality;Efficacy of combining oral Chinese herbal medicine and NB-UVB in treating psoriasis vulgaris: a systematic review and meta-analysis;709;Zhang, Anthonylin;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;95;947;16;150
75;moderate quality;Acupuncture Therapies for Psoriasis Vulgaris: A Systematic Review of Randomized Controlled Trials;709;Zhang,ﾠAnthonylin;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;95;947;16;150
110;moderate quality;Topical herbal formulae in the management of psoriasis: Systematic review with meta-analysis of clinical studies and investigation of the pharmacological actions of the main herbs;709;Zhang, Anthonylin;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;96;950;16;150
119;high quality;Oral Chinese herbal medicine combined with pharmacotherapy for psoriasis vulgaris: A systematic review;709;Zhang,ﾠAnthonylin;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;95;947;16;150
148;high quality;Plant extracts for the topical management of psoriasis: A systematic review and meta-analysis;709;Zhang,ﾠAnthonylin;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;95;947;16;150
155;moderate quality;Add-on effect of chinese herbal medicine bath to phototherapy for psoriasis vulgaris: A systematic review;709;Zhang, Anthonylin;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;96;950;16;150
176;moderate quality;Topical herbal medicine combined with pharmacotherapy for psoriasis: A systematic review and meta-analysis;709;Zhang, Anthonylin;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;96;950;16;150
17;low quality;Terms referring to psoriasis vulgaris in the classical Chinese medicine literature: a systematic analysis;712;Zhang,ﾠClaireshuiqing;Royal Melbourne Institute of Technology University, School of Biomedical Science;Melbourne;;Australia;19;73;6;30
19;high quality;Is Oral Chinese Herbal Medicine Beneficial for Psoriasis Vulgaris? A Meta-Analysis of Comparisons with Acitretin.;712;Zhang,ﾠClaireshuiqing;Royal Melbourne Institute of Technology University, School of Biomedical Sciences;Melbourne;;Australia;19;73;6;30
44;moderate quality;Efficacy of combining oral Chinese herbal medicine and NB-UVB in treating psoriasis vulgaris: a systematic review and meta-analysis;712;Zhang, Claireshuiqing;Royal Melbourne Institute of Technology University, School of Biomedical Sciences;Melbourne;;Australia;19;73;6;30
119;high quality;Oral Chinese herbal medicine combined with pharmacotherapy for psoriasis vulgaris: A systematic review;712;Zhang,ﾠClaireshuiqing;Royal Melbourne Institute of Technology University, School of Biomedical Sciences;Melbourne;;Australia;19;73;6;30
155;moderate quality;Add-on effect of chinese herbal medicine bath to phototherapy for psoriasis vulgaris: A systematic review;712;Zhang, Claireshuiqing;Royal Melbourne Institute of Technology University, School of Biomedical Sciences;Melbourne;;Australia;19;73;6;30
37;low quality;Opportunistic infections and biologic therapies in immune-mediated inflammatory diseases: consensus recommendations for infection reporting during clinical trials and postmarketing surveillance;563;Smolen,ﾠJosef Sebastian;Medizinische Universitat Wien, Department of Medicine;Vienna;;Austria;819;52519;103;150
170;low quality;Etanercept provides an effective, safe and flexible short- and long- term treatment regimen for moderate-to-severe psoriasis: a systematic review of current evidence;578;Strohal,ﾠRobert;Landeskrankenhaus Feldkirch, Department of Dermatology and Venereology;Feldkirch;;Austria;62;960;17;150
246;low quality;Epidermal kinetic alterations required to generate the psoriatic phenotype: a reappraisal;238;Heenen,ﾠMichel;Hospital Erasme, Service of Dermatology;Brussels;;Belgium;169;1852;25;150
246;low quality;Epidermal kinetic alterations required to generate the psoriatic phenotype: a reappraisal;556;Simonart,ﾠThierry;Dermatology (Private Practice) ;Brussels;;Belgium;133;2351;25;150
146;moderate quality;Efficacy and safety of biologics in the treatment of moderate to severe psoriasis: A comprehensive meta-analysis of randomized controlled trials;116;Correr, Cassyano Janu�rio;Universidade Federal do Parana, Department of Pharmacy;Curitiba;;Brazil;71;513;12;104
195;low quality;Sexual dysfunction in patients with psoriasis and psoriatic arthritis ? a systematic review;128;Da Mota,ﾠLicia Maria Henrique;Universidade de Brasilia;Brasilia;;Brazil;69;471;12;150
146;moderate quality;Efficacy and safety of biologics in the treatment of moderate to severe psoriasis: A comprehensive meta-analysis of randomized controlled trials;197;Garcia, Mariana Martins Artins;Universidade Federal do Parana;Curitiba;;Brazil;2;4;2;11
146;moderate quality;Efficacy and safety of biologics in the treatment of moderate to severe psoriasis: A comprehensive meta-analysis of randomized controlled trials;205;Godoy, Rangel Ray Ay;Universidade Federal do Parana;Curitiba;;Brazil;2;2;1;10
146;moderate quality;Efficacy and safety of biologics in the treatment of moderate to severe psoriasis: A comprehensive meta-analysis of randomized controlled trials;210;Gon�alves, Patr�cia Rodrigues;Universidade Federal do Parana;Curitiba;;Brazil;3;27;2;12
195;low quality;Sexual dysfunction in patients with psoriasis and psoriatic arthritis ? a systematic review;297;Kurizky,�Patricia Shu;Dermatology Service at Hospital Universit�rio de Bras�lia (HUB, Hospital das For�as Armadas);Brasilia;;Brazil;5;14;2;12
146;moderate quality;Efficacy and safety of biologics in the treatment of moderate to severe psoriasis: A comprehensive meta-analysis of randomized controlled trials;448;Otuki, Michel Fleith Leith;Universidade Federal do Parana, Department of Pharmacology;Curitiba;;Brazil;68;1304;18;150
146;moderate quality;Efficacy and safety of biologics in the treatment of moderate to severe psoriasis: A comprehensive meta-analysis of randomized controlled trials;504;Riveros, Bruno Salgado Algado;Universidade Federal do Parana, Post Graduation Department;Curitiba;;Brazil;4;13;2;12
146;moderate quality;Efficacy and safety of biologics in the treatment of moderate to severe psoriasis: A comprehensive meta-analysis of randomized controlled trials;509;Rotta, Inajara;Universidade Federal do Parana, Post-Graduate Program of Pharmaceutical Sciences;Curitiba;;Brazil;15;91;6;34
146;moderate quality;Efficacy and safety of biologics in the treatment of moderate to severe psoriasis: A comprehensive meta-analysis of randomized controlled trials;597;Teles, Tha�s De Souza;Universidade Federal do Parana;Curitiba;;Brazil;1;2;1;7
86;moderate quality;Systematic Review of Cost-Effectiveness Analyses of Treatments for Psoriasis;18;Anis,ﾠAslam Hayat;St. Paul's Hospital, Centre for Health Evaluation and Outcome Sciences;Vancouver;;Canada;200;6676;45;150
262;moderate quality;Efficacyﾠofﾠsystemicﾠtreatmentsﾠforﾠmoderateﾠtoﾠsevereﾠplaqueﾠpsoriasis:ﾠSystematicﾠreviewﾠandﾠmeta-analysisﾠ;18;Anis,ﾠAslam Hayat;St. Paul's Hospital, Centre for Health Evaluation and Outcome Sciences;Vancouver;;Canada;200;6691;45;150
143;moderate quality;Anti-tumor necrosis factor (TNF) drugs for the treatment of psoriatic arthritis: An indirect comparison meta-analysis;31;Avi�a-Zubieta, Juan Antonio;The University of British Columbia, Department of Medicine;Vancouver;;Canada;49;1359;20;150
262;moderate quality;Efficacyﾠofﾠsystemicﾠtreatmentsﾠforﾠmoderateﾠtoﾠsevereﾠplaqueﾠpsoriasis:ﾠSystematicﾠreviewﾠandﾠmeta-analysisﾠ;44;Bansback,ﾠNick J.;Arthritis Research Canada;Richmond;;Canada;118;2933;26;150
169;moderate quality;Transient Elastography for Detecting Liver Fibrosis in Methotrexate-Treated Patients with Inflammatory Disorders: A Systematic Review;48;Barra,ﾠLillian J.;Western University, Division of Rheumatology;London;;Canada;22;292;8;110
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;49;Bessette, Louis;Universite Laval, Department of Medicine;Quebec;;Canada;73;1703;23;150
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;49;Bessette,ﾠLouis;Universite Laval, Department of Medicine;Quebec;;Canada;73;1702;23;150
72;moderate quality;Effect of biologics on depressive symptoms in patients with psoriasis: a systematic review;49;Bessette,ﾠLouis;Universite Laval, Department of Medicine;Quebec;;Canada;73;1703;23;150
97;moderate quality;Evidence-based recommendations for the management of comorbidities in rheumatoid arthritis, psoriasis, and psoriatic arthritis: Expert opinion of the canadian dermatology-rheumatology comorbidity initiative;49;Bessette, Louis;Universite Laval, Department of Medicine;Quebec;;Canada;73;1709;23;150
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;55;Bissonnette, Robert T.;Innovaderm Research Inc.;Montreal;yes;Canada;127;2846;29;150
34;low quality;Systematic review of efficacy of antietumor necrosis factor (TNF) therapy in patients with psoriasis previously treated with a different antieTNF agent;55;Bissonnette,ﾠRobert T.;Innovaderm Research Inc.;Montreal;yes;Canada;127;2846;29;150
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;55;Bissonnette,ﾠRobert T.;Innovaderm Research Inc.;Montreal;yes;Canada;127;2844;29;150
72;moderate quality;Effect of biologics on depressive symptoms in patients with psoriasis: a systematic review;55;Bissonnette,ﾠRobert T.;Innovaderm Research Inc.;Montreal;yes;Canada;127;2846;29;150
97;moderate quality;Evidence-based recommendations for the management of comorbidities in rheumatoid arthritis, psoriasis, and psoriatic arthritis: Expert opinion of the canadian dermatology-rheumatology comorbidity initiative;55;Bissonnette, Robert T.;Innovaderm Research Inc.;Montreal;yes;Canada;127;2854;29;150
116;moderate quality;Network meta-analysis of treatments for chronic plaque psoriasis in Canada  ;129;Daigle, Deanne;Mediprobe Research Inc., ;London;yes;Canada;22;42;5;25
143;moderate quality;Anti-tumor necrosis factor (TNF) drugs for the treatment of psoriatic arthritis: An indirect comparison meta-analysis;159;Druyts, Eric F.;Precision Global Health;Vancouver;;Canada;44;535;14;115
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;162;Dutz, Jan Peter;The University of British Columbia, Department of Dermatology and Skin Science;Vancouver;;Canada;114;3307;31;150
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;162;Dutz,ﾠJan Peter;The University of British Columbia, Department of Dermatology and Skin Science;Vancouver;;Canada;114;3307;31;150
72;moderate quality;Effect of biologics on depressive symptoms in patients with psoriasis: a systematic review;162;Dutz,ﾠJan Peter;The University of British Columbia, Department of Dermatology and Skin Science;Vancouver;;Canada;174;3307;31;150
97;moderate quality;Evidence-based recommendations for the management of comorbidities in rheumatoid arthritis, psoriasis, and psoriatic arthritis: Expert opinion of the canadian dermatology-rheumatology comorbidity initiative;162;Dutz, Jan Peter;The University of British Columbia, Department of Dermatology and Skin Science;Vancouver;;Canada;113;3314;31;150
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;182;Fleming, Patrick James;University of Toronto, Division of Dermatology;Toronto;;Canada;20;180;6;37
45;moderate quality;The Relationship of Obesity With the Severity of Psoriasis: A Systematic Review;182;Fleming, Patrick James;University of Toronto, Division of Dermatology;Toronto;;Canada;20;180;6;37
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;182;Fleming,ﾠPatrick James;University of Toronto, Division of Dermatology;Toronto;;Canada;20;180;6;37
72;moderate quality;Effect of biologics on depressive symptoms in patients with psoriasis: a systematic review;182;Fleming,ﾠPatrick James;University of Toronto, Division of Dermatology;Toronto;;Canada;20;180;6;37
97;moderate quality;Evidence-based recommendations for the management of comorbidities in rheumatoid arthritis, psoriasis, and psoriatic arthritis: Expert opinion of the canadian dermatology-rheumatology comorbidity initiative;182;Fleming, Patrick James;University of Toronto, Division of Dermatology;Toronto;;Canada;20;180;6;37
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;219;Gulliver, Wayne P F;Memorial University of Newfoundland, Faculty of Medicine, Department of Medicine;St John's;;Canada;86;2562;25;150
45;moderate quality;The Relationship of Obesity With the Severity of Psoriasis: A Systematic Review;219;Gulliver, Wayne P F;Memorial University of Newfoundland, Faculty of Medicine, Department of Medicine;St John's;;Canada;86;2562;25;150
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;219;Gulliver,ﾠWayne P F;Memorial University of Newfoundland, Faculty of Medicine, Department of Medicine;St John's;;Canada;86;2562;25;150
72;moderate quality;Effect of biologics on depressive symptoms in patients with psoriasis: a systematic review;219;Gulliver, Wayne P F;Memorial University of Newfoundland, Faculty of Medicine, Department of Medicine;St John's;;Canada;86;2562;25;150
97;moderate quality;Evidence-based recommendations for the management of comorbidities in rheumatoid arthritis, psoriasis, and psoriatic arthritis: Expert opinion of the canadian dermatology-rheumatology comorbidity initiative;219;Gulliver,ﾠWayne P F;Memorial University of Newfoundland, Faculty of Medicine, Department of Medicine;St John's;;Canada;86;2567;25;150
1;moderate quality;Psoriasis and sleep disorders: A systematic review;224;Gupta, Aditya K.;University of Toronto, Department of Medicine;Toronto;;Canada;27;84;5;32
116;moderate quality;Network meta-analysis of treatments for chronic plaque psoriasis in Canada  ;224;Gupta, Aditya K.;Mediprobe Research Inc., ;London;yes;Canada;542;17349;71;150
1;moderate quality;Psoriasis and sleep disorders: A systematic review;225;Gupta, Madhulika A.;Western University, Department of Psychiatry;London;;Canada;117;5008;36;65
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;234;Haraoui, Boulos Paul;Universite de Montreal;Montreal;;Canada;150;5023;36;150
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;234;Haraoui,ﾠBoulos Paul;Universite de Montreal;Montreal;;Canada;150;5021;36;150
72;moderate quality;Effect of biologics on depressive symptoms in patients with psoriasis: a systematic review;234;Haraoui,ﾠBoulos Paul;Universite de Montreal;Montreal;;Canada;150;5023;36;150
97;moderate quality;Evidence-based recommendations for the management of comorbidities in rheumatoid arthritis, psoriasis, and psoriatic arthritis: Expert opinion of the canadian dermatology-rheumatology comorbidity initiative;234;Haraoui, Boulos Paul;Universite de Montreal;Montreal;;Canada;150;5033;36;150
276;moderate quality;Theﾠroleﾠofﾠantimalarialsﾠinﾠtheﾠexacerbationﾠofﾠpsoriasis: A systematic review;243;Herman,ﾠSari M.;McMaster University, Department of Medicine;Hamilton;;Canada;2;47;2;4
276;moderate quality;Theﾠroleﾠofﾠantimalarialsﾠinﾠtheﾠexacerbationﾠofﾠpsoriasis: A systematic review;246;Holbrook,ﾠAnne Marie;McMaster University, Department of Medicine;Hamilton;;Canada;119;9562;34;150
86;moderate quality;Systematic Review of Cost-Effectiveness Analyses of Treatments for Psoriasis;256;Islam,ﾠNazrul;The University of British Columbia, School of Population and Public Health;Vancouver;;Canada;8;2;10;150
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;281;Keeling, Stephanie O.;Memorial University of Newfoundland, Faculty of Medicine;St John's;;Canada;19;194;8;111
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;281;Keeling,ﾠStephanie O.;Memorial University of Newfoundland, Faculty of Medicine, Department of Medicine;St John's;;Canada;19;194;8;111
72;moderate quality;Effect of biologics on depressive symptoms in patients with psoriasis: a systematic review;281;Keeling,ﾠStephanie O.;Memorial University of Newfoundland, Faculty of Medicine;St John's;;Canada;19;194;8;111
97;moderate quality;Evidence-based recommendations for the management of comorbidities in rheumatoid arthritis, psoriasis, and psoriatic arthritis: Expert opinion of the canadian dermatology-rheumatology comorbidity initiative;281;Keeling, Stephanie O.;Memorial University of Newfoundland, Faculty of Medicine;St John's;;Canada;19;194;8;111
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;294;Kraft, John N.;Lynde Centre for Dermatology;Markham;;Canada;19;298;8;30
45;moderate quality;The Relationship of Obesity With the Severity of Psoriasis: A Systematic Review;294;Kraft, John N.;Lynde Centre for Dermatology;Markham;;Canada;19;298;8;30
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;294;Kraft, John N.;Lynde Centre for Dermatology;Markham;;Canada;19;296;8;30
72;moderate quality;Effect of biologics on depressive symptoms in patients with psoriasis: a systematic review;294;Kraft, John N.;Lynde Centre for Dermatology;Markham;;Canada;19;298;8;30
97;moderate quality;Evidence-based recommendations for the management of comorbidities in rheumatoid arthritis, psoriasis, and psoriatic arthritis: Expert opinion of the canadian dermatology-rheumatology comorbidity initiative;294;Kraft, John N.;Lynde Centre for Dermatology;Markham;;Canada;19;298;8;30
230;high quality;Association Between Biologic Therapies for Chronic Plaque Psoriasis and cardiovascular events: a meta-analysis of randomized controlled trials;307;Langley,ﾠRichard G B;Dalhousie University;Halifax;;Canada;145;8699;46;150
131;low quality;A Systematic Review of Systemic Medications for Pustular Psoriasis in Pediatrics;308;Lara-Corrales,ﾠIrene;Hospital for Sick Children University of Toronto, Division of Paediatric Medicine;Toronto;;Canada;40;383;10;125
199;moderate quality; systematic review of systemic medications for pustular psoriasis in pediatrics ;308;Lara-Corrales, Irene;Hospital for Sick Children University of Toronto, Division of Paediatric Medicine;Toronto;;Canada;40;385;10;125
169;moderate quality;Transient Elastography for Detecting Liver Fibrosis in Methotrexate-Treated Patients with Inflammatory Disorders: A Systematic Review;318;Levstik,ﾠMark A.;London Health Sciences Centre;London;;Canada;26;2827;15;150
88;moderate quality;Evaluation of the Association Between CD143 Gene Polymorphism and Psoriasis;365;Lv,ﾠShichao;General Hospital of People's Liberation Army;Beijing;;Canada;1;0;NA;6
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;366;Lynde, Charles W.;University of Toronto, Division of Dermatology;Toronto;;Canada;144;3588;31;150
45;moderate quality;The Relationship of Obesity With the Severity of Psoriasis: A Systematic Review;366;Lynde, Charles W.;University of Toronto, Division of Dermatology;Toronto;;Canada;144;3588;31;150
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;366;Lynde,ﾠCharles W.;University of Toronto, Division of Dermatology;Toronto;;Canada;144;3585;31;150
97;moderate quality;Evidence-based recommendations for the management of comorbidities in rheumatoid arthritis, psoriasis, and psoriatic arthritis: Expert opinion of the canadian dermatology-rheumatology comorbidity initiative;366;Lynde, Charles W.;University of Toronto, Division of Dermatology;Toronto;;Canada;143;3580;31;150
72;moderate quality;Effect of biologics on depressive symptoms in patients with psoriasis: a systematic review;366;Lynde,ﾠCW W.;Lynde Centre for Dermatology;Markham;;Canada;3;66;2;29
116;moderate quality;Network meta-analysis of treatments for chronic plaque psoriasis in Canada  ;367;Lyons, Danika C A;Western University, Department of Anatomy and Cell Biology The Schulich School of Medicine and Dentistry;London;;Canada;11;32;3;21
86;moderate quality;Systematic Review of Cost-Effectiveness Analyses of Treatments for Psoriasis;369;Ma,ﾠCanice;St. Paul's Hospital, Centre for Health Evaluation and Outcome Sciences;Vancouver;;Canada;1;4;1;3
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;399;McCourt, Collette;The University of British Columbia, Department of Dermatology and Skin Science;Vancouver;;Canada;7;74;3;19
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;399;McCourt,ﾠCollette;The University of British Columbia, Department of Dermatology and Skin Science;Vancouver;;Canada;7;74;3;19
72;moderate quality;Effect of biologics on depressive symptoms in patients with psoriasis: a systematic review;399;McCourt,ﾠCollette;The University of British Columbia, Department of Dermatology and Skin Science;Vancouver;;Canada;7;74;3;19
97;moderate quality;Evidence-based recommendations for the management of comorbidities in rheumatoid arthritis, psoriasis, and psoriatic arthritis: Expert opinion of the canadian dermatology-rheumatology comorbidity initiative;399;McCourt, Collette;The University of British Columbia, Department of Dermatology and Skin Science;Vancouver;;Canada;7;74;3;19
12;moderate quality;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;401;McFarlane, Alexandra;University of Alberta, Division of Rheumatology;Edmonton;;Canada;8;76;3;20
59;high quality;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis.;401;McFarlane,ﾠAlexandra;University of Alberta, Division of Rheumatology;Edmonton;;Canada;8;76;3;20
