article_Id;sort_AMSTAR_levels;AMSTAR_consensus_2;AMSTAR_levels_2;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;PC1;PC2;PC3;PC4;number_of_cites_Google_Scholar;number_of_cites_Web_of_Science;title;topic;journal;journal_dermatology;year;Total Cites;Journal Impact Factor;Impact Factor without Journal Self Cites;5-Year Impact Factor;Immediacy Index;Citable Items;Cited Half-life;Citing Half-life;Eigenfactor Score;Article Influence Score;% Articles in Citable Items;Normalized Eigenfactor;avgJifPercentile;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2015);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;;num_authors;num_institutions;funding;funding_class;funding_class_2;funding_academic;funding_industry;pharma_name;funding_non_pharma_companies;conflict_of_interest;conflict_of_interest_%authors;countries_authors;page_count;log_page_count;clinical_trials;observational_studies;CTANDobservational;systematic_reviews;economic_studies;metaanalysis_included;economic_analysis_included;dateOFsubmissionTOjournal;dateOFacceptanceBYjournal;dateOFacceptanceBYjournal;daysFORreviewJournal_days;clusterFromHeatmap
173;11;10;high_quality;1;1;1;1;0;1;1;1;1;1;1;0.4088028;1.04795587;1.20349728;0.3002195148;94;47;Re-evaluation of the risk for major adverse cardiovascular events in patients treated with anti-IL-12 /23 biological agents for chronic plaque psoriasis: a meta-analysis of randomized controlled trials;Comorbidities;Journal of the European Academy of Dermatology and Venereology;1;2013;5616;3.105;2.825;3.133;0.728;298;4.6;7.9;0.0148;0.847;90.27;1.63098;84.426;ISSN 01909622, 10976787;1.935;Q1;162;616;1653;12017;4796;921;5.66;19.51;United States;;3;3;No funding;No  funding;No  funding;0;0;NA;0;3;100;2;6;2.58;1;0;0;0;0;1;No;11/14/2011;2/14/2012;2/14/2012;92;Cluster 3
190;12;10;high_quality;1;1;1;1;1;1;1;1;1;0;1;0.42317769;1.24325542;-0.28430342;2.1605261984;27;7;Narrow-band ultraviolet B phototherapy versus broad-band ultraviolet B or psoralen-ultraviolet A photochemotherapy for psoriasis (Review);Treatment;The Cochrane database of systematic reviews;0;2013;39856;5.939;5.432;6.706;0.816;1007;4.9;>10.0;0.13531;2.326;1.49;14.91429;93.91;ISSN 1469493X;1.17;Q1;133;1073;2449;191;6383;2407;2.89;0.18;United Kingdom;;5;3;funding;Academic;Academic;1;0;NA;0;0;0;;94;6.55;1;0;0;0;0;1;No;1/1/2001;10/23/2013;10/23/2013;NA;Cluster 6
230;13;10;high_quality;1;1;1;1;0;1;1;1;1;1;1;0.4088028;1.04795587;1.20349728;0.3002195148;168;111;Association Between Biologic Therapies for Chronic Plaque Psoriasis and Cardiovascular Events. A Meta-analysis of Randomized Controlled Trials.;Treatment;JAMA - Journal of the American Medical Association;0;2011;117668;30.026;29.368;29.684;6.927;220;8.8;5;0.28566;13.111;90;Not Available;98.387;ISSN 00987484;5.902;Q1;549;1236;3807;13148;25577;1740;15.06;10.64;United States;;14;10;No funding;No  funding;No  funding;0;0;NA;0;14;100;1;8;3;1;0;0;0;0;1;No;1/1/2001;8/24/2011;8/24/2011;NA;Cluster 3
273;14;10;high_quality;1;1;1;1;1;1;1;1;1;0;1;0.42317769;1.24325542;-0.28430342;2.1605261984;101;101;Etanercept and infliximab for the treatment of psoriasis: a systematic review;Treatment;Health Technology Assessment;0;2006;1893;5.29;4.83;NA;0.52;50;4.8;8;NA;NA;14;Not Available;97.368;ISSN 13665278;1.713;Q1;93;85;228;16154;885;225;3.93;190.05;United Kingdom;;11;3;UNK;UNK;UNK;0;0;NA;0;0;0;1;258;8.01;1;0;0;0;0;1;Yes;1/1/2001;10/1/2006;10/1/2006;NA;
280;15;10;high_quality;1;1;1;1;1;1;1;1;1;0;1;0.42317769;1.24325542;-0.28430342;2.1605261984;86;;Interventions for chronic palmoplantar pustulosis (Review);Treatment;Cochrane database of systematic reviews (Online);0;2006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ISSN 1469493X;0.647;Q1;133;812;1589;48186;2423;1588;1.54;59.34;United Kingdom;;5;4;funding;Academic;Academic;1;0;NA;0;1;20;1;55;5.78;1;0;0;0;0;1;NA;1/1/2001;1/1/2006;1/1/2006;NA;
6;16;9;high_quality;1;1;1;1;0;1;1;1;1;0;1;0.56519672;1.23453689;-0.12059417;0.4857998772;4;1;Education to improve quality of life of people with chronic inflammatory skin conditions: a systematic review of the evidence;Treatment;British Journal of Dermatology;1;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;3;2;funding;Academic;Academic;1;0;NA;0;0;0;1;14;3.81;1;0;0;0;0;1;No;1/1/2001;1/22/2016;1/22/2016;NA;
16;17;9;high_quality;1;1;1;1;0;1;1;0;1;1;1;-0.48272039;1.03717706;1.38449151;0.2195376119;1;1;Cancer Recurrence Following Immune-Suppressive Therapies in Patients With Immune-Mediated Diseases: A Systematic Review and Meta-analysis;Comorbidities;Gastroenterology;0;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;7;6;funding;Academic;Academic;1;0;NA;0;5;71.43;;17;4.09;0;1;0;0;0;1;No;1/5/2016;3/23/2016;3/23/2016;-39;
29;18;9;high_quality;1;1;1;0;0;1;1;1;1;1;1;0.55723203;1.17867138;1.24611657;-0.915052479;0;0;Immune Signatures in Patients with Psoriasis Vulgaris of Blood-Heat Syndrome: A Systematic Review and Meta-Analysis;Pathogeny;Evidence-based Complementary and Alternative Medicine;0;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;11;3;funding;Academic;Academic;1;0;NA;0;0;0;1;11;3.46;0;1;0;0;0;1;No;10/10/2015;3/30/2016;3/30/2016;172;
40;19;9;high_quality;1;1;1;0;0;1;1;1;1;1;1;0.55723203;1.17867138;1.24611657;-0.915052479;4;0;Association between Psoriasis and Chronic Obstructive Pulmonary Disease: A Systematic Review and Meta-analysis;Comorbidities;Journal of Dermatological Treatment;1;2015;1413;1.857;1.709;1.642;0.358;106;6.3;7.8;0.00316;0.537;81.13;0.35892;58.197;ISSN 09546634;0.855;Q1;41;134;297;2934;461;271;1.76;21.9;United Kingdom;;3;4;UNK;UNK;UNK;0;0;NA;0;0;0;2;22;4.46;0;1;0;0;0;1;No;1/1/2001;10/21/15;10/21/15;NA;
54;20;9;high_quality;0;1;1;1;0;1;1;1;1;1;1;0.73243772;0.11288054;1.30189764;0.1345238028;10;7;Risk of non-alcoholic fatty liver disease in patients with psoriasis: a systematic review and meta-analysis;Comorbidities;Journal of the European Academy of Dermatology and Venereology;1;2015;6915;3.029;2.761;2.905;0.829;356;5.1;7.8;0.01696;0.882;86.8;1.92714;84.426;ISSN 01909622, 10976787;2.242;Q1;162;625;1825;11220;4774;890;5.29;17.95;United States;;6;4;funding;Academic;Academic;1;0;NA;0;0;0;2;7;2.81;0;1;0;0;0;1;No;6/16/2014;10/13/2014;10/13/2014;119;Cluster 3
66;21;9;high_quality;1;1;1;0;1;1;1;1;1;0;1;0.57160692;1.37397093;-0.24168413;0.9452542045;2;0;Systematic review on the maintenance of response during systemic antipsoriatic therapy;Treatment;British Journal of Dermatology;1;2015;22215;4.317;3.744;4.302;1.726;310;8.4;7;0.03521;1.342;85.16;4.00159;92.623;ISSN 13652133, 00070963;2.021;Q1;139;603;1818;11465;4994;1062;4.35;19.01;United Kingdom;;3;1;funding;Pharma;Pharma;0;1;Pfizer;0;1;33.33;1;12;3.58;0;0;0;0;0;0;No;1/1/2001;7/21/2015;7/21/2015;NA;Cluster 6
111;22;9;high_quality;0;1;1;1;0;1;1;1;1;1;1;0.73243772;0.11288054;1.30189764;0.1345238028;10;8;Systematic review and meta-analysis of ustekinumab for moderate to severe psoriasis;Treatment;Clinical and Experimental Dermatology;1;2014;3878;1.092;1.046;1.285;0.271;144;8.2;7.9;0.00655;0.367;94.44;0.73325;29.365;ISSN 03076938, 13652230;0.576;Q2;62;283;759;3021;890;533;1.56;10.67;United Kingdom;;9;3;funding;Academic;Academic;1;0;NA;0;0;0;1;16;4;1;0;0;0;0;1;No;1/1/2001;12/2/2013;12/2/2013;NA;Cluster 3
119;23;9;high_quality;1;1;1;1;0;1;1;1;1;0;1;0.56519672;1.23453689;-0.12059417;0.4857998772;11;6;Oral Chinese herbal medicine combined with pharmacotherapy for psoriasis vulgaris: a systematic review;Treatment;International Journal of Dermatology;1;2014;5454;1.312;1.226;1.434;0.307;293;8.9;10;0.00748;0.406;92.15;0.83727;40.476;ISSN 13654632, 00119059;0.583;Q2;71;608;1104;9619;1299;806;1.48;15.82;United Kingdom;;7;3;funding;Academic;Academic;1;0;NA;0;0;0;2;14;3.81;1;0;0;0;0;0;No;1/1/2001;11/1/2014;11/1/2014;NA;Cluster 6
121;24;9;high_quality;1;1;1;1;1;1;1;1;0;0;1;0.47103154;1.14453005;-1.2423853;2.148915655;14;8;Diagnostic accuracy of noninvasive markers of liver fibrosis in patients with psoriasis taking methotrexate: a systematic review and meta-analysis;Diagnosis;British Journal of Dermatology;1;2014;20484;4.275;3.834;3.984;1.065;339;8.3;7.1;0.03247;1.169;85.55;3.6369;91.27;ISSN 13652133, 00070963;1.963;Q1;139;688;1638;14745;5233;1037;5;21.43;United Kingdom;;5;4;funding;Academic;Academic;1;0;NA;0;0;0;1;11;3.46;0;1;0;0;0;1;No;1/1/2001;2/10/2015;2/10/2015;NA;
122;25;9;high_quality;1;0;1;1;1;1;1;1;1;1;0;0.28490603;-0.57356849;1.20257966;2.7046748905;45;19;The Prevalence and Odds of Depressive Symptoms and Clinical Depression in Psoriasis Patients: A Systematic Review and Meta-Analysis;Comorbidities;Journal of Investigative Dermatology;1;2014;25658;7.216;6.525;6.706;2.184;277;8.6;6.9;0.04269;2.087;94.95;4.78092;99.206;ISSN 0022202X;2.525;Q1;155;545;1309;13962;5652;975;5.81;25.62;United Kingdom;;4;4;UNK;UNK;UNK;0;0;NA;0;1;25;1;10;3.32;0;0;0;0;0;1;No;5/29/2013;11/5/2013;11/5/2013;-18;Cluster 2
142;26;9;high_quality;0;0;1;1;1;1;1;1;1;1;1;0.67292245;-0.54616189;0.87530603;1.8722981791;83;50;Meta-analysis of psoriasis, cardiovascular disease, and associated risk factors;Comorbidities;Journal of the American Academy of Dermatology;1;2013;20127;5.004;4.64;4.731;0.904;251;9.4;7.9;0.02977;1.377;88.84;3.28091;95.902;ISSN 01909622, 10976787;1.935;Q1;162;616;1653;12017;4796;921;5.66;19.51;United States;;4;4;funding;Pharma;Pharma;0;1;LEO Pharma;0;2;50;1;11;3.46;0;1;0;0;0;1;No;1/1/2001;6/13/2013;6/13/2013;NA;Cluster 2
148;27;9;high_quality;1;1;1;1;0;1;1;1;1;0;1;0.56519672;1.23453689;-0.12059417;0.4857998772;16;7;Plant extracts for the topical management of psoriasis: a systematic review and meta-analysis;Treatment;British Journal of Dermatology;1;2013;20604;4.1;3.605;4.137;1.308;341;8.1;6.6;0.03434;1.186;85.92;3.78498;89.344;ISSN 13652133, 00070963;1.931;Q1;139;574;1594;13130;5323;1050;4.91;22.87;United Kingdom;;5;2;funding;Academic;Academic;1;0;NA;0;0;0;2;14;3.81;1;0;0;0;0;1;No;1/1/2001;5/28/2013;5/28/2013;NA;Cluster 6
149;28;9;high_quality;0;1;1;1;0;1;1;1;1;1;1;0.73243772;0.11288054;1.30189764;0.1345238028;28;21;Psoriasis, psoriatic arthritis and type 2 diabetes mellitus: a systematic review and meta-analysis;Comorbidities;British Journal of Dermatology;1;2013;20604;4.1;3.605;4.137;1.308;341;8.1;6.6;0.03434;1.186;85.92;3.78498;89.344;ISSN 13652133, 00070963;1.931;Q1;139;574;1594;13130;5323;1050;4.91;22.87;United Kingdom;;11;5;funding;Academic;Academic;1;0;NA;0;0;0;1;11;3.46;0;1;0;0;0;1;No;1/1/2001;6/10/2013;6/10/2013;NA;Cluster 3
150;29;9;high_quality;1;1;1;1;0;1;1;1;1;0;1;0.56519672;1.23453689;-0.12059417;0.4857998772;73;52;Incidence of Cardiovascular Disease in Individuals with Psoriasis: A Systematic Review and Meta-Analysis;Comorbidities;Journal of Investigative Dermatology;1;2013;24351;6.372;5.839;6.113;2.205;263;8.6;6.6;0.0424;1.925;95.06;4.6737;99.18;ISSN 02636352;1.804;Q1;146;388;1152;11974;4031;873;4.6;30.86;United States;;5;3;funding;Academic;Academic;1;0;NA;0;0;0;1;7;2.81;0;1;0;0;0;1;No;10/15/2012;5/16/2013;5/16/2013;213;Cluster 6
156;30;9;high_quality;1;1;1;0;0;1;1;1;1;1;1;0.55723203;1.17867138;1.24611657;-0.915052479;62;40;Markers of systemic inflammation in psoriasis: a systematic review and meta-analysis;Pathogeny;British Journal of Dermatology;1;2013;20604;4.1;3.605;4.137;1.308;341;8.1;6.6;0.03434;1.186;85.92;3.78498;89.344;ISSN 13652133, 00070963;1.931;Q1;139;574;1594;13130;5323;1050;4.91;22.87;United Kingdom;;4;4;funding;Pharma;Pharma;0;1;AbbVie;0;1;25;1;17;4.09;0;1;0;0;0;1;No;1/1/2001;3/25/2013;3/25/2013;NA;Cluster 3
161;31;9;high_quality;1;1;1;0;0;1;1;1;1;1;1;0.55723203;1.17867138;1.24611657;-0.915052479;2;1;Meta-analysis of the association between psoriasis and human leucocyte antigen-B;Pathogeny;British Journal of Dermatology;1;2013;20604;4.1;3.605;4.137;1.308;341;8.1;6.6;0.03434;1.186;85.92;3.78498;89.344;ISSN 13652133, 00070963;1.931;Q1;139;574;1594;13130;5323;1050;4.91;22.87;United Kingdom;;5;2;funding;Academic;Academic;1;0;NA;0;0;0;1;11;3.46;0;1;0;0;0;1;No;1/1/2001;4/14/2013;4/14/2013;NA;Cluster 3
175;32;9;high_quality;1;1;1;0;0;1;1;1;1;1;1;0.55723203;1.17867138;1.24611657;-0.915052479;131;72;Psoriasis and metabolic syndrome: A systematic review and meta-analysis of observational studies;Comorbidities;Journal of the American Academy of Dermatology;1;2013;20127;5.004;4.64;4.731;0.904;251;9.4;7.9;0.02977;1.377;88.84;3.28091;95.902;ISSN 01909622, 10976787;1.935;Q1;162;616;1653;12017;4796;921;5.66;19.51;United States;;3;2;No funding;No  funding;No  funding;0;0;NA;0;0;0;1;9;3.17;0;1;0;0;0;1;No;1/1/2001;1/28/2013;1/28/2013;NA;Cluster 3
191;33;9;high_quality;1;1;1;1;1;0;1;1;1;1;0;-1.01306408;0.65549682;1.24537734;3.3366939675;15;10;Thiazolidinediones for plaque psoriasis: a systematic review and meta-analysis;Treatment;Evidence-Based Medicine;0;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ISSN 13565524, 14736810;0.176;Q3;18;167;395;814;116;23;10.5;4.87;United Kingdom;;5;3;UNK;UNK;UNK;0;0;NA;0;0;0;1;6;2.58;1;0;0;0;0;1;No;1/1/2001;12/17/2012;12/17/2012;NA;Cluster 3
192;34;9;high_quality;1;1;1;0;0;1;1;1;1;1;1;0.55723203;1.17867138;1.24611657;-0.915052479;125;77;The association between psoriasis and obesity: a systematic review and meta-analysis of observational studies;Comorbidities;Nutrition and Diabetes;0;2012;26;0.818;0.818;0.818;0.167;36;NA;6.3;0.00012;0.299;86.11;Not Available;14.005;ISSN 20444052;0.406;Q2;12;37;15;1783;10;15;0.67;48.19;United Kingdom;;3;2;UNK;UNK;UNK;0;0;NA;0;0;0;1;6;2.58;0;1;0;0;0;1;No;1/1/2001;12/3/2012;12/3/2012;NA;
194;35;9;high_quality;1;1;1;1;0;1;1;1;1;0;1;0.56519672;1.23453689;-0.12059417;0.4857998772;34;15;Comparison of Ustekinumab With Other Biological Agents for the Treatment of Moderate to Severe Plaque Psoriasis: A Bayesian Network Meta-analysis;Treatment;Archives of Dermatology;1;2012;12875;4.792;4.428;4.64;0.836;128;>10.0;7.3;0.01884;1.644;95.31;Not Available;94.068;ISSN 21686084, 21686068;1.511;Q1;134;372;1127;4535;2355;701;3.09;12.19;United States;;3;3;funding;Academic;Academic;1;0;NA;0;1;33.33;1;8;3;1;0;0;0;0;1;No;1/1/2001;10/15/2012;10/15/2012;NA;Cluster 6
203;36;9;high_quality;1;1;1;1;0;1;1;1;1;0;1;0.56519672;1.23453689;-0.12059417;0.4857998772;16;7;Plant extracts for the topical management of psoriasis: a systematic review and meta-analysis;Treatment;Journal of Dermatology;1;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ISSN 03852407;0.724;Q1;45;389;654;4971;833;370;2.28;12.78;United Kingdom;;5;2;funding;Academic;Academic;1;0;NA;0;0;0;2;14;3.81;1;0;0;0;0;1;No;1/1/2001;5/28/2013;5/28/2013;NA;
231;37;9;high_quality;1;0;1;1;0;1;1;1;1;1;1;0.49130656;0.38019491;0.94061492;0.36326757;24;0;The Risk of Infection and Malignancy with Tumor Necrosis Factor Antagonists in Adult Patients with Psoriatic Disease: A Systematic Review and Meta-analysis of Randomized Controlled Trials;Treatment;Journal of the American Academy of Dermatology;1;2011;18641;3.991;3.661;4.135;0.808;250;9.1;8.3;0.03179;1.212;85.2;Not Available;95.69;ISSN 01909622, 10976787;1.639;Q1;162;636;1368;13228;4333;1105;3.63;20.8;United States;;6;5;funding;Academic;Academic;1;0;NA;0;1;16.67;1;22;4.46;1;0;0;0;0;1;No;1/1/2001;9/21/2010;9/21/2010;NA;Cluster 3
302;38;9;high_quality;1;1;1;1;0;1;1;1;1;0;1;0.56519672;1.23453689;-0.12059417;0.4857998772;13;;Topical treatments for chronic plaque psoriasis of the scalp: a systematic review;Treatment;British Journal of Dermatology;1;2013;20604;4.1;3.605;4.137;1.308;341;8.1;6.6;0.03434;1.186;85.92;3.78498;89.344;ISSN 13652133, 00070963;1.931;Q1;139;574;1594;13130;5323;1050;4.91;22.87;United Kingdom;;5;4;funding;Pharma;Pharma;0;1;NA;0;1;20;1;9;3.17;1;0;0;0;0;1;No;1/1/2001;4/9/2013;4/9/2013;NA;
2;39;8;moderate_quality;0;1;1;0;0;1;1;1;1;1;1;0.88086695;0.24359605;1.34451693;-1.080748191;0;0;A systematic review and meta-analysis on Staphylococcus aureus carriage in psoriasis, acne and rosacea;Pathogeny;European Journal of Clinical Microbiology and Infectious Diseases;0;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;6;6;funding;Pharma;Pharma;0;0;NA;1;2;33.33;;9;3.17;0;1;0;0;0;1;No;4/9/2016;4/9/2016;4/9/2016;NA;
3;40;8;moderate_quality;0;1;1;1;0;1;1;1;1;1;0;0.66805623;-0.84960139;1.72757162;0.8012048022;0;0;The Effect of TNF Inhibitors on Cardiovascular Events in Psoriasis and Psoriatic Arthritis: an Updated Meta-Analysis;Treatment;Clinical Reviews in Allergy and Immunology;0;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;4;3;funding;Academic;Academic;1;0;NA;0;0;0;1;8;3;1;0;0;0;0;1;No;7/29/2016;7/29/2016;7/29/2016;NA;
7;41;8;moderate_quality;0;1;1;1;0;1;1;1;1;1;0;0.66805623;-0.84960139;1.72757162;0.8012048022;0;0;Epicardial fat tissue in patients with psoriasis:a systematic review and meta-analysis;Pathogeny;Lipids in Health and Disease;0;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;5;2;UNK;UNK;UNK;0;0;NA;0;0;0;1;7;2.81;0;1;0;0;0;1;No;3/16/2016;5/23/2016;5/23/2016;68;
9;42;8;moderate_quality;1;1;1;1;1;1;1;1;0;0;0;0.40665004;0.18204813;-0.81671131;2.8155966544;0;0;Medical adherence to topical corticosteroid preparations prescribed for psoriasis: A systematic review;Treatment;Journal of Dermatological Treatment;1;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;5;4;UNK;UNK;UNK;0;0;NA;0;0;0;1;9;3.17;0;1;0;0;0;0;No;3/9/2016;4/10/2016;4/10/2016;11353;
